[2022-08-30 18:28:55.2535] | Info | 回城点配置加载成功... 
[2022-08-30 18:28:55.2535] | Info | 正在初始安全区光圈... 
[2022-08-30 18:28:55.2535] | Info | 安全区光圈初始化成功... 
[2022-08-30 18:28:55.2535] | Info | 人物数据引擎启动成功... 
[2022-08-30 18:28:55.8256] | Info | 游戏处理引擎初始化成功... 
[2022-08-30 18:28:55.8256] | Info | 引擎版本: 1.00 Build 20161001 
[2022-08-30 18:28:55.8256] | Info | 更新日期: 2016/10/01 
[2022-08-30 18:48:14.7475] | Info | 正在读取配置信息... 
[2022-08-30 18:48:14.9269] | Info | 读取配置信息完成... 
[2022-08-30 18:48:14.9303] | Info | 正在加载物品数据库... 
[2022-08-30 18:48:15.1535] | Info | 物品数据库加载成功(1000)... 
[2022-08-30 18:48:15.1535] | Info | 正在加载数据图文件... 
[2022-08-30 18:48:15.1544] | Info | 小地图数据加载成功... 
[2022-08-30 18:48:15.1544] | Info | 正在加载地图数据... 
[2022-08-30 18:48:18.5093] | Info | 地图数据加载成功(322)... 
[2022-08-30 18:48:18.5095] | Info | 正在加载怪物数据库... 
[2022-08-30 18:48:18.5433] | Info | 加载怪物数据库成功(705)... 
[2022-08-30 18:48:18.5435] | Info | 正在加载技能数据库... 
[2022-08-30 18:48:18.5487] | Info | 加载技能数据库成功(206)... 
[2022-08-30 18:48:18.5487] | Info | 正在加载怪物刷新配置信息... 
[2022-08-30 18:48:18.5762] | Info | 加载怪物刷新配置信息成功(2828)... 
[2022-08-30 18:48:18.5764] | Info | 正加载怪物说话配置信息... 
[2022-08-30 18:48:18.5764] | Info | 加载怪物说话配置信息成功(0)... 
[2022-08-30 18:48:18.5785] | Info | 正在加载捆装物品信息... 
[2022-08-30 18:48:18.5785] | Info | 加载捆装物品信息成功... 
[2022-08-30 18:48:18.5785] | Info | 加载物品寄售系统... 
[2022-08-30 18:48:18.5819] | Info | 正在加载任务地图信息... 
[2022-08-30 18:48:18.5840] | Info | 加载任务地图信息成功... 
[2022-08-30 18:48:18.5840] | Info | 正在加载任务说明信息... 
[2022-08-30 18:48:18.5848] | Info | 加载任务说明信息成功... 
[2022-08-30 18:48:18.5848] | Info | 正在加载公告提示信息... 
[2022-08-30 18:48:18.5854] | Info | 加载公告提示信息成功... 
[2022-08-30 18:48:18.5854] | Info | 管理员列表加载成功... 
[2022-08-30 18:48:18.5866] | Info | 行会列表加载成功... 
[2022-08-30 18:48:18.5866] | Info | 城堡列表加载成功... 
[2022-08-30 18:48:18.5930] | Info | 城堡城初始完成... 
[2022-08-30 18:48:18.5952] | Info | 当前服务器运行主节点模式... 
[2022-08-30 18:48:18.5969] | Info | 登录服务器连接初始化完成... 
[2022-08-30 18:48:18.5984] | Info | 地图环境加载成功... 
[2022-08-30 18:48:18.6206] | Info | 矿物数据初始成功... 
[2022-08-30 18:48:18.6248] | Info | 交易NPC列表加载成功... 
[2022-08-30 18:48:18.6294] | Info | 守卫列表加载成功... 
[2022-08-30 18:48:18.6309] | Info | 管理NPC列表加载成功... 
[2022-08-30 18:48:18.6320] | Info | 炼制物品信息加载成功... 
[2022-08-30 18:48:18.6331] | Info | 回城点配置加载成功... 
[2022-08-30 18:48:18.6331] | Info | 正在初始安全区光圈... 
[2022-08-30 18:48:18.6337] | Info | 安全区光圈初始化成功... 
[2022-08-30 18:48:18.6337] | Info | 人物数据引擎启动成功... 
[2022-08-30 18:48:18.6945] | Info | 游戏处理引擎初始化成功... 
[2022-08-30 18:48:18.6945] | Info | 引擎版本: 1.00 Build 20161001 
[2022-08-30 18:48:18.6945] | Info | 更新日期: 2016/10/01 
[2022-08-30 19:02:32.6895] | Info | 正在读取配置信息... 
[2022-08-30 19:02:32.9379] | Info | 读取配置信息完成... 
[2022-08-30 19:02:32.9416] | Info | 正在加载物品数据库... 
[2022-08-30 19:02:33.3675] | Info | 物品数据库加载成功(1000)... 
[2022-08-30 19:02:33.3675] | Info | 正在加载数据图文件... 
[2022-08-30 19:02:33.3684] | Info | 小地图数据加载成功... 
[2022-08-30 19:02:33.3684] | Info | 正在加载地图数据... 
[2022-08-30 19:02:41.5127] | Info | 地图数据加载成功(322)... 
[2022-08-30 19:02:41.5127] | Info | 正在加载怪物数据库... 
[2022-08-30 19:02:41.5865] | Info | 加载怪物数据库成功(705)... 
[2022-08-30 19:02:41.5865] | Info | 正在加载技能数据库... 
[2022-08-30 19:02:41.5942] | Info | 加载技能数据库成功(206)... 
[2022-08-30 19:02:41.5944] | Info | 正在加载怪物刷新配置信息... 
[2022-08-30 19:02:41.6244] | Info | 加载怪物刷新配置信息成功(2828)... 
[2022-08-30 19:02:41.6244] | Info | 正加载怪物说话配置信息... 
[2022-08-30 19:02:41.6254] | Info | 加载怪物说话配置信息成功(0)... 
[2022-08-30 19:02:41.6266] | Info | 正在加载捆装物品信息... 
[2022-08-30 19:02:41.6266] | Info | 加载捆装物品信息成功... 
[2022-08-30 19:02:41.6266] | Info | 加载物品寄售系统... 
[2022-08-30 19:02:41.6377] | Info | 正在加载任务地图信息... 
[2022-08-30 19:02:41.6397] | Info | 加载任务地图信息成功... 
[2022-08-30 19:02:41.6397] | Info | 正在加载任务说明信息... 
[2022-08-30 19:02:41.6406] | Info | 加载任务说明信息成功... 
[2022-08-30 19:02:41.6406] | Info | 正在加载公告提示信息... 
[2022-08-30 19:02:41.6406] | Info | 加载公告提示信息成功... 
[2022-08-30 19:02:41.6649] | Info | 管理员列表加载成功... 
[2022-08-30 19:02:41.6780] | Info | 行会列表加载成功... 
[2022-08-30 19:02:41.6791] | Info | 城堡列表加载成功... 
[2022-08-30 19:02:41.6851] | Info | 城堡城初始完成... 
[2022-08-30 19:02:41.6905] | Info | 当前服务器运行主节点模式... 
[2022-08-30 19:02:41.6918] | Info | 登录服务器连接初始化完成... 
[2022-08-30 19:02:41.6957] | Info | 地图环境加载成功... 
[2022-08-30 19:02:41.7245] | Info | 矿物数据初始成功... 
[2022-08-30 19:02:41.7276] | Info | 交易NPC列表加载成功... 
